cost_id,work_order_id,machine_id,repair_cost_usd,downtime_cost_per_hour_usd,downtime_cost_usd,total_impact_usd
COST_00001,WO_00001,APU_001,1109.28,867.2,3095.9,4205.18
COST_00002,WO_00002,APU_044,1021.75,1419.66,3577.54,4599.29
COST_00003,WO_00003,APU_035,1141.46,340.82,1322.38,2463.84
COST_00004,WO_00004,APU_012,921.85,1575.2,9892.26,10814.11
COST_00005,WO_00005,APU_041,352.2,1490.02,3561.15,3913.35
COST_00006,WO_00006,APU_003,218.01,1761.9,4210.94,4428.95
COST_00007,WO_00007,APU_035,1131.99,1762.03,11417.95,12549.94
COST_00008,WO_00008,APU_008,722.93,691.47,2869.6,3592.53
COST_00009,WO_00009,APU_005,200.95,562.42,1181.08,1382.03
COST_00010,WO_00010,APU_045,218.42,409.18,1497.6,1716.02
COST_00011,WO_00011,APU_030,516.77,1117.73,2358.41,2875.18
COST_00012,WO_00012,APU_005,714.06,369.61,776.18,1490.24
COST_00013,WO_00013,APU_008,647.73,1677.18,5216.03,5863.76
COST_00014,WO_00014,APU_022,583.14,676.78,642.94,1226.08
COST_00015,WO_00015,APU_029,829.74,971.73,1020.32,1850.06
COST_00016,WO_00016,APU_002,252.19,1086.41,2172.82,2425.01
COST_00017,WO_00017,APU_045,804.72,1305.07,2035.91,2840.63
COST_00018,WO_00018,APU_016,467.04,1781.12,5753.02,6220.06
COST_00019,WO_00019,APU_023,103.68,418.49,690.51,794.19
COST_00020,WO_00020,APU_049,422.62,1496.03,1870.04,2292.66
COST_00021,WO_00021,APU_004,1264.35,829.84,5053.73,6318.08
COST_00022,WO_00022,APU_012,699.09,1704.76,4091.42,4790.51
COST_00023,WO_00023,APU_022,158.83,1244.31,3508.95,3667.78
COST_00024,WO_00024,APU_002,625.49,580.69,720.06,1345.55
COST_00025,WO_00025,APU_027,991.11,1428.4,2871.08,3862.19
COST_00026,WO_00026,APU_048,835.09,1198.11,3462.54,4297.63
COST_00027,WO_00027,APU_028,192.89,934.37,1345.49,1538.38
COST_00028,WO_00028,APU_041,856.05,928.53,3101.29,3957.34
COST_00029,WO_00029,APU_009,154.44,878.58,1713.23,1867.67
COST_00030,WO_00030,APU_039,307.4,1331.33,3088.69,3396.09
COST_00031,WO_00031,APU_038,343.13,1799.12,3508.28,3851.41
COST_00032,WO_00032,APU_021,1048.61,1222.47,9205.2,10253.81
COST_00033,WO_00033,APU_003,833.08,549.35,1483.25,2316.33
COST_00034,WO_00034,APU_029,793.29,797.52,1212.23,2005.52
COST_00035,WO_00035,APU_009,724.45,562.84,2403.33,3127.78
COST_00036,WO_00036,APU_011,161.92,1512.12,2101.85,2263.77
