transaction_id,transaction_datetime,part_id,transaction_type,quantity,stock_before,stock_after,linked_work_order_id
TXN_000001,2025-05-07 19:01:00,PART_0280,RECEIPT,3,60,63,
TXN_000002,2024-07-07 22:20:00,PART_0018,ISSUE,8,9,1,WO_05212
TXN_000003,2025-01-31 10:50:00,PART_0053,ISSUE,7,15,8,WO_01275
TXN_000004,2024-08-19 09:42:00,PART_0050,RECEIPT,1,8,9,
TXN_000005,2024-09-04 18:47:00,PART_0166,RECEIPT,2,12,14,
TXN_000006,2024-11-02 20:28:00,PART_0233,ISSUE,3,57,54,WO_02660
TXN_000007,2024-05-13 06:10:00,PART_0036,RECEIPT,5,30,35,
TXN_000008,2024-09-30 19:59:00,PART_0164,ISSUE,6,20,14,WO_09599
TXN_000009,2024-04-24 02:45:00,PART_0122,ISSUE,8,17,9,WO_09676
TXN_000010,2024-04-18 05:33:00,PART_0079,RECEIPT,5,9,14,
TXN_000011,2024-06-24 19:57:00,PART_0213,RECEIPT,2,12,14,
TXN_000012,2025-08-26 14:43:00,PART_0219,ISSUE,2,33,31,WO_07668
TXN_000013,2025-09-06 20:28:00,PART_0193,ISSUE,8,36,28,WO_07045
TXN_000014,2024-07-26 15:05:00,PART_0261,RECEIPT,3,58,61,
TXN_000015,2024-12-27 21:12:00,PART_0015,RECEIPT,3,28,31,
TXN_000016,2024-05-25 10:00:00,PART_0269,RECEIPT,4,51,55,
TXN_000017,2024-12-14 02:46:00,PART_0060,ISSUE,6,21,15,WO_02286
TXN_000018,2025-07-20 11:04:00,PART_0139,ADJUSTMENT,1,9,8,
TXN_000019,2024-09-25 16:37:00,PART_0203,ADJUSTMENT,6,52,46,
TXN_000020,2025-06-12 01:54:00,PART_0084,ISSUE,6,11,5,WO_03192
TXN_000021,2024-11-21 06:05:00,PART_0151,ISSUE,2,36,34,WO_08635
TXN_000022,2024-07-18 19:56:00,PART_0099,RECEIPT,8,12,20,
TXN_000023,2024-11-05 22:08:00,PART_0190,RECEIPT,1,26,27,
TXN_000024,2024-09-02 06:46:00,PART_0298,ISSUE,4,14,10,WO_08020
TXN_000025,2024-12-05 11:00:00,PART_0009,ISSUE,2,37,35,WO_08056
TXN_000026,2024-01-04 10:41:00,PART_0044,ISSUE,2,36,34,WO_07547
TXN_000027,2024-10-17 14:44:00,PART_0010,ISSUE,1,11,10,WO_04250
TXN_000028,2025-01-01 14:20:00,PART_0214,ISSUE,2,9,7,WO_03243
TXN_000029,2025-07-17 00:47:00,PART_0197,ISSUE,4,42,38,WO_01074
TXN_000030,2024-10-01 07:15:00,PART_0050,ISSUE,7,9,2,WO_05070
TXN_000031,2024-02-03 00:52:00,PART_0010,ISSUE,3,10,7,WO_05115
TXN_000032,2025-03-27 04:31:00,PART_0139,ISSUE,5,8,3,WO_02306
TXN_000033,2024-08-15 12:44:00,PART_0082,ISSUE,1,28,27,WO_04396
TXN_000034,2025-01-29 10:29:00,PART_0233,ISSUE,3,54,51,WO_02249
TXN_000035,2024-09-02 04:58:00,PART_0074,ISSUE,1,21,20,WO_05450
TXN_000036,2024-04-30 18:26:00,PART_0204,ISSUE,8,53,45,WO_05577
TXN_000037,2024-01-04 03:39:00,PART_0034,ISSUE,5,31,26,WO_07380
TXN_000038,2024-05-03 07:21:00,PART_0178,ADJUSTMENT,7,37,44,
TXN_000039,2024-02-01 06:58:00,PART_0212,RECEIPT,5,8,13,
TXN_000040,2024-12-28 14:29:00,PART_0036,ISSUE,5,35,30,WO_09072
TXN_000041,2024-05-02 02:06:00,PART_0057,ISSUE,4,44,40,WO_03510
TXN_000042,2025-03-11 22:31:00,PART_0050,ISSUE,2,2,0,WO_09649
TXN_000043,2024-06-10 20:20:00,PART_0265,ISSUE,8,43,35,WO_02215
TXN_000044,2024-11-16 23:47:00,PART_0271,RECEIPT,7,39,46,
TXN_000045,2025-04-15 23:43:00,PART_0298,ISSUE,6,10,4,WO_02184
TXN_000046,2024-08-31 07:10:00,PART_0047,ISSUE,2,34,32,WO_06616
TXN_000047,2024-08-06 02:18:00,PART_0057,ISSUE,1,40,39,WO_03500
TXN_000048,2024-05-07 12:43:00,PART_0040,ISSUE,4,33,29,WO_04907
TXN_000049,2024-05-23 11:18:00,PART_0007,ISSUE,6,12,6,WO_01056
TXN_000050,2024-11-17 11:24:00,PART_0149,ISSUE,3,52,49,WO_05530
TXN_000051,2024-07-18 09:26:00,PART_0043,RECEIPT,5,53,58,
TXN_000052,2024-05-28 06:38:00,PART_0074,RECEIPT,1,20,21,
TXN_000053,2024-01-14 10:25:00,PART_0252,ISSUE,7,34,27,WO_05665
TXN_000054,2025-06-28 09:05:00,PART_0199,ISSUE,3,27,24,WO_05987
TXN_000055,2025-05-29 22:09:00,PART_0033,RECEIPT,2,11,13,
TXN_000056,2025-05-01 02:59:00,PART_0283,ISSUE,5,35,30,WO_04513
TXN_000057,2024-01-05 22:35:00,PART_0133,ISSUE,4,53,49,WO_09123
TXN_000058,2024-03-14 05:43:00,PART_0009,ISSUE,4,35,31,WO_05444
TXN_000059,2024-06-28 03:33:00,PART_0133,RECEIPT,6,49,55,
TXN_000060,2025-04-13 06:24:00,PART_0211,RECEIPT,5,35,40,
TXN_000061,2024-12-19 17:21:00,PART_0031,ISSUE,2,41,39,WO_09840
TXN_000062,2025-09-04 04:00:00,PART_0127,ISSUE,3,5,2,WO_03791
TXN_000063,2024-11-18 12:26:00,PART_0113,ADJUSTMENT,2,44,46,
TXN_000064,2025-05-03 13:34:00,PART_0021,RECEIPT,7,32,39,
TXN_000065,2025-08-29 10:55:00,PART_0049,ISSUE,6,36,30,WO_02661
TXN_000066,2024-10-21 12:21:00,PART_0141,ISSUE,5,13,8,WO_07197
TXN_000067,2025-06-12 20:52:00,PART_0201,ISSUE,3,25,22,WO_07872
TXN_000068,2024-05-01 01:06:00,PART_0295,RECEIPT,8,48,56,
TXN_000069,2024-05-11 17:02:00,PART_0115,ISSUE,1,32,31,WO_01385
TXN_000070,2024-07-04 00:45:00,PART_0139,ADJUSTMENT,5,3,8,
TXN_000071,2025-02-08 16:10:00,PART_0120,ISSUE,8,26,18,WO_07731
TXN_000072,2025-04-24 13:16:00,PART_0107,RECEIPT,8,9,17,
TXN_000073,2025-01-13 04:14:00,PART_0136,RECEIPT,6,33,39,
TXN_000074,2025-02-07 13:31:00,PART_0060,ISSUE,7,15,8,WO_04122
TXN_000075,2025-06-05 22:02:00,PART_0087,ISSUE,8,56,48,WO_09602
TXN_000076,2025-05-11 10:21:00,PART_0087,ISSUE,6,48,42,WO_04925
TXN_000077,2024-08-14 15:37:00,PART_0169,ADJUSTMENT,4,12,8,
