machine_id,machine_name,location,commission_year,criticality,baseline_health_score
APU_001,Air Production Unit 1,Zone-A,2024,Critical,70
APU_002,Air Production Unit 2,Zone-B,2024,High,77
APU_003,Air Production Unit 3,Zone-C,2020,Critical,93
APU_004,Air Production Unit 4,Zone-D,2019,Medium,93
APU_005,Air Production Unit 5,Zone-E,2023,Critical,88
APU_006,Air Production Unit 6,Zone-F,2022,Critical,70
APU_007,Air Production Unit 7,Zone-G,2019,Critical,77
APU_008,Air Production Unit 8,Zone-H,2023,Medium,70
APU_009,Air Production Unit 9,Zone-A,2023,Critical,92
APU_010,Air Production Unit 10,Zone-B,2024,Medium,87
APU_011,Air Production Unit 11,Zone-C,2022,Critical,84
APU_012,Air Production Unit 12,Zone-D,2023,High,95
APU_013,Air Production Unit 13,Zone-E,2019,Critical,92
APU_014,Air Production Unit 14,Zone-F,2022,High,78
APU_015,Air Production Unit 15,Zone-G,2020,Critical,94
APU_016,Air Production Unit 16,Zone-H,2021,Critical,72
APU_017,Air Production Unit 17,Zone-A,2022,Critical,81
APU_018,Air Production Unit 18,Zone-B,2021,Medium,78
APU_019,Air Production Unit 19,Zone-C,2019,Medium,84
APU_020,Air Production Unit 20,Zone-D,2023,Critical,82
APU_021,Air Production Unit 21,Zone-E,2019,Medium,79
APU_022,Air Production Unit 22,Zone-F,2024,Medium,98
APU_023,Air Production Unit 23,Zone-G,2021,Medium,76
APU_024,Air Production Unit 24,Zone-H,2024,Critical,71
APU_025,Air Production Unit 25,Zone-A,2024,Critical,94
APU_026,Air Production Unit 26,Zone-B,2021,Critical,97
APU_027,Air Production Unit 27,Zone-C,2020,Critical,82
APU_028,Air Production Unit 28,Zone-D,2021,High,90
APU_029,Air Production Unit 29,Zone-E,2021,Critical,81
APU_030,Air Production Unit 30,Zone-F,2021,Critical,91
APU_031,Air Production Unit 31,Zone-G,2021,Medium,91
APU_032,Air Production Unit 32,Zone-H,2024,Critical,89
APU_033,Air Production Unit 33,Zone-A,2024,Critical,87
APU_034,Air Production Unit 34,Zone-B,2024,Critical,75
APU_035,Air Production Unit 35,Zone-C,2022,High,78
APU_036,Air Production Unit 36,Zone-D,2024,Medium,87
APU_037,Air Production Unit 37,Zone-E,2020,Medium,80
APU_038,Air Production Unit 38,Zone-F,2019,Critical,96
APU_039,Air Production Unit 39,Zone-G,2019,High,82
APU_040,Air Production Unit 40,Zone-H,2021,Critical,76
APU_041,Air Production Unit 41,Zone-A,2023,Medium,80
APU_042,Air Production Unit 42,Zone-B,2020,Medium,85
APU_043,Air Production Unit 43,Zone-C,2022,Medium,84
APU_044,Air Production Unit 44,Zone-D,2020,High,74
APU_045,Air Production Unit 45,Zone-E,2020,Medium,87
APU_046,Air Production Unit 46,Zone-F,2023,High,93
APU_047,Air Production Unit 47,Zone-G,2023,High,98
APU_048,Air Production Unit 48,Zone-H,2023,High,81
APU_049,Air Production Unit 49,Zone-A,2020,Critical,86
APU_050,Air Production Unit 50,Zone-B,2022,Critical,94
