work_order_id,machine_id,maintenance_datetime,maintenance_type,issue,part_id,technician_id,downtime_hours,total_cost_usd,status
WO_00001,APU_001,2024-10-06 22:17:00,Inspection,Reservoir Pressure Fluctuation,PART_0274,TECH_0120,3.57,1109.28,Completed
WO_00002,APU_044,2024-08-08 12:18:00,Inspection,Oil Level Warning,PART_0222,TECH_0048,2.52,1021.75,Completed
WO_00003,APU_035,2025-09-13 09:14:00,Preventive,Oil Level Warning,PART_0186,TECH_0067,3.88,1141.46,Completed
WO_00004,APU_012,2025-02-07 18:09:00,Corrective,Reservoir Pressure Fluctuation,PART_0022,TECH_0331,6.28,921.85,Monitoring
WO_00005,APU_041,2025-05-16 14:23:00,Preventive,High Oil Temperature,PART_0200,TECH_0490,2.39,352.2,Completed
WO_00006,APU_003,2024-05-20 14:32:00,Corrective,Abnormal Motor Current,PART_0003,TECH_0201,2.39,218.01,Completed
WO_00007,APU_035,2025-08-30 11:34:00,Corrective,Low Pressure Switch Fault,PART_0260,TECH_0016,6.48,1131.99,Completed
WO_00008,APU_008,2024-06-03 03:20:00,Inspection,Dryer Valve Fault,PART_0295,TECH_0449,4.15,722.93,Completed
WO_00009,APU_005,2024-01-27 20:29:00,Corrective,Reservoir Pressure Fluctuation,PART_0076,TECH_0398,2.1,200.95,Completed
WO_00010,APU_045,2025-04-17 10:21:00,Corrective,Reservoir Pressure Fluctuation,PART_0076,TECH_0022,3.66,218.42,Completed
WO_00011,APU_030,2025-03-21 01:56:00,Corrective,High Oil Temperature,PART_0092,TECH_0051,2.11,516.77,Monitoring
WO_00012,APU_005,2025-08-08 18:50:00,Preventive,Reservoir Pressure Fluctuation,PART_0112,TECH_0348,2.1,714.06,Monitoring
WO_00013,APU_008,2025-05-13 03:18:00,Preventive,Oil Level Warning,PART_0078,TECH_0270,3.11,647.73,Completed
WO_00014,APU_022,2024-02-16 00:52:00,Corrective,Abnormal Motor Current,PART_0057,TECH_0229,0.95,583.14,Completed
WO_00015,APU_029,2024-06-26 09:59:00,Preventive,Abnormal Motor Current,PART_0021,TECH_0107,1.05,829.74,Monitoring
WO_00016,APU_002,2024-12-20 14:22:00,Inspection,Abnormal Motor Current,PART_0039,TECH_0008,2.0,252.19,Completed
