order_id,machine_id,customer_id,product_id,quantity,scheduled_start,scheduled_end,priority,status
ORD_000001,APU_050,CUST_0042,PRODUCT_030,2212,2026-04-18 19:42:00,2026-04-19 00:42:00,Low,Completed
ORD_000002,APU_010,CUST_0148,PRODUCT_032,1554,2025-09-07 02:15:00,2025-09-07 10:15:00,High,Scheduled
ORD_000003,APU_029,CUST_0267,PRODUCT_039,650,2026-07-02 12:52:00,2026-07-02 16:52:00,Critical,At Risk
ORD_000004,APU_035,CUST_0526,PRODUCT_046,1822,2025-12-28 23:14:00,2025-12-29 05:14:00,Critical,Scheduled
ORD_000005,APU_024,CUST_0706,PRODUCT_018,1520,2026-06-21 21:20:00,2026-06-21 22:20:00,High,In Progress
ORD_000006,APU_001,CUST_0669,PRODUCT_106,1049,2025-08-07 04:55:00,2025-08-07 14:55:00,High,In Progress
ORD_000007,APU_018,CUST_0163,PRODUCT_021,1523,2025-11-01 19:56:00,2025-11-02 04:56:00,Low,In Progress
ORD_000008,APU_040,CUST_0255,PRODUCT_101,1496,2025-07-29 22:01:00,2025-07-30 00:01:00,Medium,Completed
ORD_000009,APU_042,CUST_0249,PRODUCT_102,1255,2026-01-25 19:34:00,2026-01-26 07:34:00,Critical,In Progress
ORD_000010,APU_041,CUST_0665,PRODUCT_073,1362,2025-11-06 08:52:00,2025-11-06 14:52:00,High,Scheduled
ORD_000011,APU_035,CUST_0796,PRODUCT_107,2255,2026-05-02 01:21:00,2026-05-02 08:21:00,High,In Progress
ORD_000012,APU_006,CUST_0713,PRODUCT_087,1920,2025-08-04 09:31:00,2025-08-04 21:31:00,High,At Risk
ORD_000013,APU_026,CUST_0178,PRODUCT_099,149,2025-12-26 06:10:00,2025-12-26 19:10:00,High,Scheduled
ORD_000014,APU_004,CUST_0199,PRODUCT_023,1232,2025-02-25 13:29:00,2025-02-25 17:29:00,Low,Scheduled
ORD_000015,APU_047,CUST_0489,PRODUCT_022,966,2025-07-17 10:18:00,2025-07-17 11:18:00,Low,At Risk
ORD_000016,APU_036,CUST_0319,PRODUCT_039,2338,2026-01-15 12:32:00,2026-01-16 03:32:00,Low,Scheduled
ORD_000017,APU_047,CUST_0572,PRODUCT_095,1694,2025-02-04 18:32:00,2025-02-05 06:32:00,Medium,At Risk
ORD_000018,APU_047,CUST_0547,PRODUCT_043,1079,2025-02-07 18:13:00,2025-02-08 10:13:00,Medium,At Risk
ORD_000019,APU_030,CUST_0145,PRODUCT_021,1219,2025-09-25 07:11:00,2025-09-25 18:11:00,Medium,In Progress
ORD_000020,APU_020,CUST_0648,PRODUCT_088,2662,2025-12-22 09:16:00,2025-12-22 15:16:00,Low,Completed
ORD_000021,APU_030,CUST_0684,PRODUCT_045,1552,2025-04-26 08:53:00,2025-04-27 00:53:00,Medium,Scheduled
ORD_000022,APU_033,CUST_0318,PRODUCT_023,2470,2026-02-14 23:47:00,2026-02-15 07:47:00,High,At Risk
ORD_000023,APU_012,CUST_0106,PRODUCT_116,1250,2025-06-16 23:19:00,2025-06-17 14:19:00,Low,Completed
ORD_000024,APU_012,CUST_0326,PRODUCT_110,2371,2025-03-21 02:55:00,2025-03-21 10:55:00,Low,Completed
ORD_000025,APU_026,CUST_0268,PRODUCT_117,1860,2025-12-12 01:45:00,2025-12-12 08:45:00,Critical,At Risk
ORD_000026,APU_012,CUST_0180,PRODUCT_013,233,2026-04-04 00:20:00,2026-04-04 06:20:00,High,Scheduled
ORD_000027,APU_050,CUST_0545,PRODUCT_079,1042,2025-08-11 13:20:00,2025-08-11 18:20:00,Medium,Scheduled
ORD_000028,APU_044,CUST_0278,PRODUCT_106,2259,2025-11-20 12:45:00,2025-11-20 23:45:00,Medium,At Risk
ORD_000029,APU_018,CUST_0500,PRODUCT_084,2676,2025-01-03 10:20:00,2025-01-03 15:20:00,Low,At Risk
ORD_000030,APU_041,CUST_0145,PRODUCT_022,2509,2025-04-03 05:16:00,2025-04-03 06:16:00,Critical,Scheduled
ORD_000031,APU_007,CUST_0368,PRODUCT_020,2702,2025-09-21 16:21:00,2025-09-22 03:21:00,Medium,Completed
ORD_000032,APU_017,CUST_0258,PRODUCT_021,2898,2025-09-15 02:54:00,2025-09-15 06:54:00,High,At Risk
ORD_000033,APU_037,CUST_0099,PRODUCT_005,2014,2025-11-14 07:01:00,2025-11-14 14:01:00,Critical,Scheduled
ORD_000034,APU_006,CUST_0374,PRODUCT_050,2452,2025-05-03 02:59:00,2025-05-03 11:59:00,Low,Completed
ORD_000035,APU_008,CUST_0080,PRODUCT_076,2426,2025-03-19 16:50:00,2025-03-19 21:50:00,Critical,Scheduled
ORD_000036,APU_010,CUST_0073,PRODUCT_100,521,2025-11-08 19:49:00,2025-11-09 04:49:00,Low,At Risk
ORD_000037,APU_044,CUST_0671,PRODUCT_055,1089,2025-04-10 05:54:00,2025-04-10 12:54:00,Critical,Completed
ORD_000038,APU_015,CUST_0030,PRODUCT_016,2376,2026-01-15 04:51:00,2026-01-15 05:51:00,Medium,Completed
ORD_000039,APU_032,CUST_0544,PRODUCT_008,418,2025-03-19 01:04:00,2025-03-19 17:04:00,Medium,At Risk
