supplier_id,supplier_name,category,lead_time_days,reliability_score,status
SUP_0001,Industrial Supplier 001,Mechanical,11,0.913,Approved
SUP_0002,Industrial Supplier 002,Cooling,6,0.988,Approved
SUP_0003,Industrial Supplier 003,General,7,0.937,Conditional
SUP_0004,Industrial Supplier 004,Mechanical,4,0.99,Conditional
SUP_0005,Industrial Supplier 005,Pneumatics,4,0.885,Approved
SUP_0006,Industrial Supplier 006,Instrumentation,5,0.989,Approved
SUP_0007,Industrial Supplier 007,Pneumatics,14,0.932,Approved
SUP_0008,Industrial Supplier 008,Pneumatics,10,0.967,Approved
SUP_0009,Industrial Supplier 009,Instrumentation,12,0.904,Approved
SUP_0010,Industrial Supplier 010,Electrical,10,0.956,Approved
SUP_0011,Industrial Supplier 011,General,4,0.926,Approved
SUP_0012,Industrial Supplier 012,General,2,0.974,Approved
SUP_0013,Industrial Supplier 013,Mechanical,13,0.895,Approved
SUP_0014,Industrial Supplier 014,General,3,0.835,Approved
SUP_0015,Industrial Supplier 015,Mechanical,12,0.891,Approved
SUP_0016,Industrial Supplier 016,Electrical,13,0.912,Approved
SUP_0017,Industrial Supplier 017,Instrumentation,9,0.975,Approved
SUP_0018,Industrial Supplier 018,Mechanical,14,0.981,Approved
SUP_0019,Industrial Supplier 019,General,14,0.878,Approved
SUP_0020,Industrial Supplier 020,Cooling,2,0.844,Approved
SUP_0021,Industrial Supplier 021,General,12,0.935,Conditional
SUP_0022,Industrial Supplier 022,Instrumentation,6,0.835,Conditional
SUP_0023,Industrial Supplier 023,Pneumatics,5,0.911,Conditional
SUP_0024,Industrial Supplier 024,Mechanical,11,0.947,Approved
SUP_0025,Industrial Supplier 025,Instrumentation,7,0.96,Approved
SUP_0026,Industrial Supplier 026,Pneumatics,11,0.86,Approved
SUP_0027,Industrial Supplier 027,Instrumentation,9,0.876,Approved
SUP_0028,Industrial Supplier 028,General,2,0.928,Conditional
SUP_0029,Industrial Supplier 029,General,5,0.93,Approved
SUP_0030,Industrial Supplier 030,Electrical,1,0.981,Approved
SUP_0031,Industrial Supplier 031,Cooling,2,0.837,Approved
SUP_0032,Industrial Supplier 032,Cooling,8,0.883,Conditional
SUP_0033,Industrial Supplier 033,Instrumentation,12,0.944,Conditional
SUP_0034,Industrial Supplier 034,General,2,0.962,Conditional
SUP_0035,Industrial Supplier 035,Mechanical,1,0.937,Approved
SUP_0036,Industrial Supplier 036,Cooling,8,0.982,Approved
SUP_0037,Industrial Supplier 037,Pneumatics,11,0.882,Approved
SUP_0038,Industrial Supplier 038,Pneumatics,7,0.867,Approved
SUP_0039,Industrial Supplier 039,Cooling,2,0.933,Approved
SUP_0040,Industrial Supplier 040,Pneumatics,13,0.877,Approved
SUP_0041,Industrial Supplier 041,Instrumentation,4,0.832,Approved
SUP_0042,Industrial Supplier 042,Instrumentation,4,0.958,Approved
SUP_0043,Industrial Supplier 043,Mechanical,13,0.845,Approved
SUP_0044,Industrial Supplier 044,Mechanical,14,0.987,Approved
SUP_0045,Industrial Supplier 045,Instrumentation,5,0.956,Approved
SUP_0046,Industrial Supplier 046,General,14,0.824,Approved
SUP_0047,Industrial Supplier 047,Mechanical,13,0.954,Approved
SUP_0048,Industrial Supplier 048,Pneumatics,3,0.865,Approved
SUP_0049,Industrial Supplier 049,General,7,0.909,Approved
SUP_0050,Industrial Supplier 050,Cooling,8,0.952,Approved
SUP_0051,Industrial Supplier 051,Cooling,9,0.858,Approved
SUP_0052,Industrial Supplier 052,General,13,0.974,Approved
SUP_0053,Industrial Supplier 053,Cooling,11,0.984,Approved
