technician_id,name,skills,experience_years,shift,availability,certification_level
TECH_0001,Technician 001,Mechanical;Pneumatics;Diagnostics;Instrumentation,11,Evening,Off Shift,L2
TECH_0002,Technician 002,Safety Inspection;Cooling Systems,7,Night,Assigned,L3
TECH_0003,Technician 003,Pneumatics;Safety Inspection;Lubrication,10,Day,Available,L3
TECH_0004,Technician 004,Safety Inspection;Lubrication;Cooling Systems,13,Night,Off Shift,L1
TECH_0005,Technician 005,Electrical;Pneumatics;Instrumentation,6,Evening,Assigned,L3
TECH_0006,Technician 006,Diagnostics;Preventive Maintenance;Pneumatics;Lubrication,15,Night,Available,L1
TECH_0007,Technician 007,Safety Inspection;Pneumatics,1,Day,Available,L2
TECH_0008,Technician 008,Compressors;Mechanical;Electrical,12,Day,Assigned,L1
TECH_0009,Technician 009,Cooling Systems;Lubrication;Instrumentation,2,Evening,Available,L1
TECH_0010,Technician 010,Safety Inspection;Instrumentation;Electrical,7,Night,Available,L3
TECH_0011,Technician 011,Compressors;Electrical,8,Day,Available,L3
TECH_0012,Technician 012,Pressure Systems;Pneumatics,1,Day,Assigned,L1
TECH_0013,Technician 013,Diagnostics;Pneumatics;Cooling Systems,4,Evening,Available,L3
TECH_0014,Technician 014,Cooling Systems;Lubrication,6,Evening,Available,L2
TECH_0015,Technician 015,Safety Inspection;Diagnostics,2,Night,Available,L3
TECH_0016,Technician 016,Diagnostics;Pneumatics;Lubrication;Electrical,11,Night,Available,L2
TECH_0017,Technician 017,Safety Inspection;Pneumatics;Electrical;Cooling Systems,15,Day,Available,L1
TECH_0018,Technician 018,Mechanical;Lubrication;Safety Inspection;Preventive Maintenance,13,Day,Available,L2
TECH_0019,Technician 019,Cooling Systems;Electrical;Pressure Systems;Instrumentation,13,Night,Available,L3
TECH_0020,Technician 020,Electrical;Pressure Systems;Preventive Maintenance,4,Night,Off Shift,L2
TECH_0021,Technician 021,Compressors;Electrical;Pneumatics;Mechanical,2,Day,Off Shift,L3
TECH_0022,Technician 022,Cooling Systems;Pressure Systems;Compressors;Lubrication,15,Evening,Available,L2
TECH_0023,Technician 023,Mechanical;Lubrication;Pressure Systems;Diagnostics,13,Evening,Available,L1
TECH_0024,Technician 024,Cooling Systems;Compressors;Instrumentation;Electrical,1,Day,Off Shift,L3
TECH_0025,Technician 025,Safety Inspection;Pressure Systems;Mechanical,7,Night,Off Shift,L1
TECH_0026,Technician 026,Pressure Systems;Safety Inspection;Diagnostics;Instrumentation,2,Evening,Available,L3
TECH_0027,Technician 027,Diagnostics;Pressure Systems,6,Evening,Available,L2
TECH_0028,Technician 028,Mechanical;Electrical;Compressors;Preventive Maintenance,2,Evening,Available,L2
TECH_0029,Technician 029,Preventive Maintenance;Compressors;Instrumentation;Diagnostics,2,Day,Available,L3
TECH_0030,Technician 030,Diagnostics;Pneumatics,6,Night,Assigned,L1
TECH_0031,Technician 031,Diagnostics;Instrumentation;Cooling Systems,13,Day,Assigned,L2
TECH_0032,Technician 032,Pressure Systems;Cooling Systems;Instrumentation,12,Night,Available,L2
TECH_0033,Technician 033,Pressure Systems;Lubrication;Compressors,8,Night,Available,L2
TECH_0034,Technician 034,Instrumentation;Cooling Systems,15,Night,Available,L1
TECH_0035,Technician 035,Pressure Systems;Compressors;Preventive Maintenance;Safety Inspection,4,Day,Off Shift,L2
TECH_0036,Technician 036,Diagnostics;Safety Inspection;Compressors,9,Night,Off Shift,L1
TECH_0037,Technician 037,Electrical;Mechanical;Lubrication,5,Day,Assigned,L1
TECH_0038,Technician 038,Safety Inspection;Compressors;Diagnostics;Electrical,13,Night,Available,L2
TECH_0039,Technician 039,Pneumatics;Instrumentation,13,Evening,Assigned,L1
TECH_0040,Technician 040,Pneumatics;Compressors;Lubrication;Electrical,5,Night,Assigned,L3
TECH_0041,Technician 041,Electrical;Pneumatics;Lubrication;Preventive Maintenance,13,Day,Available,L1
TECH_0042,Technician 042,Mechanical;Compressors,4,Night,Assigned,L3
TECH_0043,Technician 043,Compressors;Lubrication;Safety Inspection;Mechanical,14,Night,Assigned,L1
TECH_0044,Technician 044,Pressure Systems;Electrical,7,Evening,Available,L1
TECH_0045,Technician 045,Instrumentation;Cooling Systems;Compressors;Electrical,15,Night,Off Shift,L3
TECH_0046,Technician 046,Pneumatics;Cooling Systems;Preventive Maintenance,9,Day,Off Shift,L1
TECH_0047,Technician 047,Preventive Maintenance;Compressors;Mechanical;Diagnostics,4,Evening,Assigned,L2
TECH_0048,Technician 048,Lubrication;Safety Inspection;Pneumatics,5,Day,Available,L1
TECH_0049,Technician 049,Preventive Maintenance;Cooling Systems,3,Day,Available,L2
TECH_0050,Technician 050,Lubrication;Mechanical;Cooling Systems,9,Evening,Available,L2
TECH_0051,Technician 051,Pneumatics;Instrumentation;Cooling Systems,2,Day,Assigned,L3
TECH_0052,Technician 052,Preventive Maintenance;Compressors;Electrical;Lubrication,3,Day,Available,L2
TECH_0053,Technician 053,Pressure Systems;Compressors;Instrumentation,5,Day,Available,L2
TECH_0054,Technician 054,Pressure Systems;Safety Inspection;Electrical,2,Evening,Available,L1
TECH_0055,Technician 055,Compressors;Safety Inspection,14,Day,Available,L1
TECH_0056,Technician 056,Lubrication;Cooling Systems;Instrumentation,15,Day,Available,L1
TECH_0057,Technician 057,Safety Inspection;Pneumatics,13,Day,Available,L2
TECH_0058,Technician 058,Compressors;Pneumatics,1,Day,Off Shift,L3
TECH_0059,Technician 059,Pneumatics;Compressors;Mechanical,11,Evening,Available,L2
TECH_0060,Technician 060,Diagnostics;Instrumentation,5,Evening,Available,L1
TECH_0061,Technician 061,Preventive Maintenance;Safety Inspection;Electrical;Instrumentation,8,Evening,Off Shift,L1
TECH_0062,Technician 062,Instrumentation;Mechanical,3,Evening,Available,L3
TECH_0063,Technician 063,Electrical;Pressure Systems;Compressors;Mechanical,13,Night,Assigned,L2
